Order,Publish Date,Title,Story Arc,Detail Link
126,01/1964,Tales of Suspense (1959) #49 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16370
127,12/1963,Journey into Mystery (1952) #99 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=118
128,01/1964,Journey into Mystery (1952) #100 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=119
129,12/1963,Journey into Mystery (1952) #99 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16440
130,01/1964,Journey into Mystery (1952) #100 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16441
131,02/1964,Journey into Mystery (1952) #101 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=148
132,03/1964,Journey into Mystery (1952) #102 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=149
133,04/1964,Journey into Mystery (1952) #103 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=150
134,05/1964,Journey into Mystery (1952) #104 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=151
135,02/1964,Journey into Mystery (1952) #101 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16453
136,03/1964,Journey into Mystery (1952) #102 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16454
137,04/1964,Journey into Mystery (1952) #103 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16455
138,05/1964,Journey into Mystery (1952) #104 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16456
139,01/1964,Avengers (1963) #3,-,https://cmro.travis-starnes.com/detail.php?idvalue=106
140,01/1964,Fantastic Four (1961) #22,-,https://cmro.travis-starnes.com/detail.php?idvalue=107
141,01/1964,X-Men (1963) #3,-,https://cmro.travis-starnes.com/detail.php?idvalue=108
142,02/1964,Strange Tales (1951) #117 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=109
143,02/1964,Strange Tales (1951) #117 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16222
144,02/1964,Fantastic Four (1961) #23,-,https://cmro.travis-starnes.com/detail.php?idvalue=110
145,02/1964,Amazing Spider-Man (1963) #9,-,https://cmro.travis-starnes.com/detail.php?idvalue=111
146,03/1964,Strange Tales (1951) #118 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=112
147,03/1964,Strange Tales (1951) #118 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16223
148,03/1964,Amazing Spider-Man (1963) #10,-,https://cmro.travis-starnes.com/detail.php?idvalue=113
